city,population_proper
"Ridgefield, WA",7066.0
"Ryderwood, WA",
"Manchester, WA",
"Vashon Heights, WA",
"Salmon Creek, WA",
"Vantage, WA",
"Creston, WA",218.0
"Soap Lake, WA",1571.0
"Silver Firs, WA",
"Plaza, WA",
"Machias, WA",
"Neah Bay, WA",
"Malo, WA",
"Clyde Hill, WA",3268.0
"Keyport, WA",
"North Yelm, WA",
"Grand Coulee, WA",1044.0
"Outlook, WA",
"Clinton, WA",
"Evans, WA",
"Browns Point, WA",
"Kennewick, WA",80454.0
"North Marysville, WA",
"Beaver Valley, WA",
"Ahtanum, WA",
"Carbonado, WA",663.0
"Hyak, WA",
"Arlington Heights, WA",
"North Sultan, WA",
"Pullman, WA",33282.0
"Longview, WA",37337.0
"Adelaide, WA",
"Peaceful Valley, WA",
"West Richland, WA",14198.0
"Fife Heights, WA",
"Manson, WA",
"Sprague, WA",427.0
"Cosmopolis, WA",1601.0
"Redondo, WA",
"Waller, WA",
"Addy, WA",
"Matlock, WA",
"Longbranch, WA",
"North Bonneville, WA",980.0
"Pomeroy, WA",1410.0
"Colville, WA",4788.0
"Palmer, WA",
"Skyway, WA",
"Medina, WA",3246.0
"Algona, WA",3156.0
"Nine Mile Falls, WA",
"Black Diamond, WA",4384.0
"Gold Bar, WA",2131.0
"Mesa, WA",486.0
"Cavalero Corner, WA",
"Lilliwaup, WA",
"La Conner, WA",936.0
"Sheridan Beach, WA",
"Lincoln, WA",
"Markham, WA",
"Eltopia, WA",
"Stevenson, WA",1527.0
"Greenwater, WA",
"Copalis Beach, WA",
"Roosevelt, WA",
"La Crosse, WA",317.0
"Summit, WA",
"Ohop, WA",
"Malden, WA",205.0
"Beverly, WA",
"Prosser, WA",6040.0
"Lake Roesiger, WA",
"Fern Prairie, WA",
"Maple Valley, WA",25698.0
"Gifford, WA",
"Auburn, WA",77472.0
"Burton, WA",
"Burlington, WA",8768.0
"Carrolls, WA",
"Bayne, WA",
"East Cathlamet, WA",
"Purdy, WA",
"Kapowsin, WA",
"Ketron, WA",
"Connell, WA",5414.0
"Shore Acres, WA",
"Clear Lake, WA",
"Kittitas, WA",1439.0
"Bucoda, WA",575.0
"Ardenvoir, WA",
"Ellisport, WA",
"Bainbridge Island, WA",24404.0
"Danville, WA",
"Hazelwood, WA",
"Holly, WA",
"Valley, WA",
"Republic, WA",1069.0
"Odessa, WA",869.0
"Edgewood, WA",10734.0
"Rice, WA",
"Shoreline, WA",55333.0
"Cusick, WA",208.0
"Virginia, WA",
"Concrete, WA",724.0
"Langley, WA",1097.0
"Othello, WA",8099.0
"North City, WA",
"Hazel Dell, WA",
"Colfax, WA",2895.0
"Metaline, WA",172.0
"Randle, WA",
"Millwood, WA",1787.0
"Snoqualmie Pass, WA",
"Bangor, WA",
"Thorp, WA",
"Tahlequah, WA",
"Prescott, WA",304.0
"Buckley, WA",4682.0
"Dalkena, WA",
"Leland, WA",
"Fruitvale, WA",
"Port Hadlock, WA",
"University Place, WA",33288.0
"Morton, WA",1145.0
"Deep River, WA",
"Elberton, WA",
"Kingston, WA",
"Palouse, WA",1045.0
"Vader, WA",629.0
"Donald, WA",
"Miles, WA",
"Asotin, WA",1295.0
"Joyce, WA",
"Eagledale, WA",
"Port Ludlow, WA",
"Loomis, WA",
"New London, WA",
"Desert Aire, WA",
"Poulsbo, WA",10400.0
"Cedonia, WA",
"Union, WA",
"Suquamish, WA",
"Deep Creek, WA",
"Yoman, WA",
"Cordell, WA",
"Hoquiam, WA",8434.0
"Nespelem, WA",283.0
"Ephrata, WA",8032.0
"Kent, WA",127514.0
"Mukilteo, WA",21462.0
"Boise, WA",
"Kirkland, WA",87701.0
"Waitsburg, WA",1187.0
"Ridgecrest, WA",
"Freeman, WA",
"Dallesport, WA",
"Redmond, WA",62458.0
"Wilkeson, WA",492.0
"Sisco Heights, WA",
"Lewisville, WA",
"Kennard Corner, WA",
"Benge, WA",
"Granger, WA",3720.0
"Yarrow Point, WA",1096.0
"Lost Creek, WA",
"Moxee City, WA",
"Hockinson, WA",
"Oakville, WA",665.0
"Tukwila, WA",20033.0
"Mabana, WA",
"Kangley, WA",
"Clallam Bay, WA",
"Newport, WA",2118.0
"Enetai, WA",
"Clearview, WA",
"Sahalee, WA",
"Yelm, WA",8915.0
"Midway, WA",
"Olympia, WA",51202.0
"Endicott, WA",291.0
"Lind, WA",550.0
"Fife, WA",10103.0
"Newport Hills, WA",
"Upper Preston, WA",
"Pateros, WA",688.0
"Nordland, WA",
"Tyler, WA",
"Camden, WA",
"Rockport, WA",
"Port Orchard, WA",13945.0
"Preston, WA",
"Tieton, WA",1276.0
"Rochester, WA",
"Bingen, WA",722.0
"Harbour Pointe, WA",
"Wellpinit, WA",
"Glacier, WA",
"Farmington, WA",156.0
"Eastsound, WA",
"Central Park, WA",
"Bremerton, WA",40675.0
"Friday Harbor, WA",2338.0
"Carnation, WA",1995.0
"Lake Shore, WA",
"Houghton, WA",
"Lake Cavanaugh, WA",
"Lake Stevens, WA",31679.0
"Mineral, WA",
"Lake Stickney, WA",
"Acme, WA",
"Oyehut, WA",
"Mossyrock, WA",763.0
"Bridgeport, WA",2509.0
"Fobes Hill, WA",
"Rosario, WA",
"Brewster, WA",2341.0
"Fox Island, WA",
"Canyon Park, WA",
"Rock Island, WA",932.0
"High Rock, WA",
"Rockford, WA",468.0
"Erlands Point, WA",
"Montesano, WA",3912.0
"Gorst, WA",
"Johnson, WA",
"Alderton, WA",
"Dusty, WA",
"Tekoa, WA",808.0
"Bay Center, WA",
"La Center, WA",3144.0
"Mazama, WA",
"Selleck, WA",
"Amanda Park, WA",
"Sequim, WA",6964.0
"Sunnydale, WA",
"Van Zandt, WA",
"McDonald, WA",
"Moclips, WA",
"Ocean Park, WA",
"West Valley, WA",
"Thompson Place, WA",
"Dungeness, WA",
"Birch Bay, WA",
"Stratford, WA",
"Ione, WA",450.0
"Tacoma, WA",211277.0
"Barberton, WA",
"Yacolt, WA",1690.0
"Coulee Dam, WA",1090.0
"Almota, WA",
"Skamokawa, WA",
"Woodinville, WA",12000.0
"Swinomish Village, WA",
"Methow, WA",
"Bay View, WA",
"Newaukum, WA",
"Meadow Glade, WA",
"Disautel, WA",
"Copalis Crossing, WA",
"Burley, WA",
"Riverside, WA",268.0
"Ocean Shores, WA",5831.0
"Bethel, WA",
"South Hill, WA",
"Baring, WA",
"Winona, WA",
"Leadpoint, WA",
"Brooklyn, WA",
"Mansfield, WA",334.0
"Esperance, WA",
"Springdale, WA",276.0
"Okanogan, WA",2561.0
"Cedar Mountain, WA",
"Moses Lake, WA",22641.0
"Littlerock, WA",
"Trentwood, WA",
